year,make,model,trim,drive_type,fuel_type,vehicle_class,engine_description,transmission,city_mpge,highway_mpge,combined_mpge,range_miles,battery_capacity_kwh,onboard_charger_kw,charge_time_240v_hours,msrp_base,price_per_kwh,co2_emissions,ghg_score,data_source,cluster
2022,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),120,106,112,259,65.0,11.0,5.9,31500,485,0,10,EPA,4
2023,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),120,106,112,259,65.0,11.0,5.9,26500,408,0,10,EPA,4
2024,Chevrolet,Bolt EV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),120,106,112,259,65.0,11.0,5.9,27495,423,0,10,EPA,4
2022,Chevrolet,Bolt EUV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),115,101,107,247,65.0,11.0,5.9,33500,515,0,10,EPA,4
2023,Chevrolet,Bolt EUV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),115,101,107,247,65.0,11.0,5.9,28500,438,0,10,EPA,4
2024,Chevrolet,Bolt EUV,LT,FWD,Electric,Subcompact Hatchback,Electric Motor,Automatic (variable gear ratios),115,101,107,247,65.0,11.0,5.9,28795,443,0,10,EPA,4
2024,Chevrolet,Blazer EV,LT,FWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),96,84,89,279,85.0,11.5,7.4,48800,574,0,10,Manufacturer,5
2024,Chevrolet,Blazer EV,RS,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),99,87,92,293,85.0,11.5,7.4,51800,609,0,10,Manufacturer,5
2024,Chevrolet,Equinox EV,LT,FWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),110,97,102,319,85.0,11.5,7.4,34995,412,0,10,Manufacturer,2
2024,Chevrolet,Silverado EV,WT,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),65,57,60,393,200.0,19.2,10.4,77905,390,0,10,Manufacturer,1
2022,BMW,i4,eDrive40,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),109,96,101,301,83.9,11.0,7.6,55400,660,0,10,EPA,2
2022,BMW,i4,M50,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),94,83,87,270,83.9,11.0,7.6,65900,785,0,10,EPA,5
2023,BMW,i4,eDrive40,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),109,96,101,301,83.9,11.0,7.6,57400,684,0,10,EPA,2
2023,BMW,i4,M50,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),95,84,88,271,83.9,11.0,7.6,67900,809,0,10,EPA,5
2024,BMW,i4,eDrive40,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),109,96,101,301,83.9,11.0,7.6,59400,708,0,10,EPA,2
2024,BMW,i4,M50,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),95,84,88,271,83.9,11.0,7.6,69900,833,0,10,EPA,5
2022,BMW,iX,xDrive50,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),86,76,80,324,105.2,11.0,9.6,83200,791,0,10,EPA,6
2022,BMW,iX,M60,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),78,69,73,288,105.2,11.0,9.6,105700,1005,0,10,EPA,6
2023,BMW,iX,xDrive50,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),86,76,80,324,105.2,11.0,9.6,87250,829,0,10,EPA,6
2023,BMW,iX,M60,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),78,69,73,288,105.2,11.0,9.6,109595,1042,0,10,EPA,6
2024,BMW,iX,xDrive50,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),86,76,80,324,105.2,11.0,9.6,87250,829,0,10,EPA,6
2024,BMW,iX,M60,AWD,Electric,Large Luxury SUV,Electric Motor,Automatic (variable gear ratios),78,69,73,288,105.2,11.0,9.6,109595,1042,0,10,EPA,6
2023,BMW,i7,xDrive60,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),82,72,76,321,101.7,11.0,9.2,105700,1039,0,10,EPA,6
2024,BMW,i7,xDrive60,AWD,Electric,Large Luxury Sedan,Electric Motor,Automatic (variable gear ratios),82,72,76,321,101.7,11.0,9.2,105700,1039,0,10,EPA,6
2022,Hyundai,Ioniq 5,Standard Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),110,97,102,220,58.0,10.9,5.3,43650,753,0,10,EPA,4
2022,Hyundai,Ioniq 5,Long Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),114,100,106,303,77.4,10.9,7.1,47150,609,0,10,EPA,2
2022,Hyundai,Ioniq 5,Long Range AWD,AWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),98,86,91,256,77.4,10.9,7.1,50650,654,0,10,EPA,5
2023,Hyundai,Ioniq 5,Standard Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),110,97,102,220,58.0,10.9,5.3,41450,715,0,10,EPA,4
2023,Hyundai,Ioniq 5,Long Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),114,100,106,303,77.4,10.9,7.1,47000,607,0,10,EPA,2
2023,Hyundai,Ioniq 5,Long Range AWD,AWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),102,90,95,266,77.4,10.9,7.1,50500,652,0,10,EPA,5
2024,Hyundai,Ioniq 5,Standard Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),110,97,102,220,58.0,10.9,5.3,41800,721,0,10,EPA,4
2024,Hyundai,Ioniq 5,Long Range,RWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),114,100,106,303,77.4,10.9,7.1,48500,627,0,10,EPA,2
2024,Hyundai,Ioniq 5,Long Range AWD,AWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),102,90,95,266,77.4,10.9,7.1,52000,672,0,10,EPA,5
2023,Hyundai,Ioniq 6,SE,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),140,123,130,361,77.4,10.9,7.1,41600,537,0,10,EPA,2
2023,Hyundai,Ioniq 6,SEL,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),117,103,109,305,77.4,10.9,7.1,45500,588,0,10,EPA,2
2024,Hyundai,Ioniq 6,SE,RWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),140,123,130,361,77.4,10.9,7.1,42715,552,0,10,EPA,2
2024,Hyundai,Ioniq 6,SEL,AWD,Electric,Compact/Midsize Sedan,Electric Motor,Automatic (variable gear ratios),117,103,109,305,77.4,10.9,7.1,46615,602,0,10,EPA,2
2022,Hyundai,Kona Electric,SE,FWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),120,106,112,258,64.0,7.2,8.9,34000,531,0,10,EPA,4
2023,Hyundai,Kona Electric,SE,FWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),120,106,112,258,64.0,7.2,8.9,33550,524,0,10,EPA,4
2024,Hyundai,Kona Electric,SE,FWD,Electric,Compact SUV,Electric Motor,Automatic (variable gear ratios),122,107,113,261,65.4,7.2,9.1,33875,518,0,10,EPA,4
2022,Rivian,R1T,Explore,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),70,62,65,314,135.0,11.5,11.7,73000,541,0,10,EPA,1
2022,Rivian,R1T,Adventure,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),70,62,65,314,135.0,11.5,11.7,78000,578,0,10,EPA,1
2023,Rivian,R1T,Explore,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),72,63,67,328,135.0,11.5,11.7,73000,541,0,10,EPA,1
2023,Rivian,R1T,Adventure,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),72,63,67,328,135.0,11.5,11.7,78000,578,0,10,EPA,1
2024,Rivian,R1T,Dual Standard,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),65,57,60,270,105.0,11.5,9.1,69900,666,0,10,EPA,0
2024,Rivian,R1T,Dual Large,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),73,64,68,330,135.0,11.5,11.7,75900,562,0,10,EPA,1
2024,Rivian,R1T,Quad Large,AWD,Electric,Pickup Truck,Electric Motor,Automatic (variable gear ratios),72,63,67,328,135.0,11.5,11.7,86900,644,0,10,EPA,1
2022,Rivian,R1S,Explore,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),69,61,64,316,135.0,11.5,11.7,78000,578,0,10,EPA,1
2022,Rivian,R1S,Adventure,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),69,61,64,316,135.0,11.5,11.7,83000,615,0,10,EPA,1
2023,Rivian,R1S,Explore,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),71,62,66,330,135.0,11.5,11.7,78000,578,0,10,EPA,1
2023,Rivian,R1S,Adventure,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),71,62,66,330,135.0,11.5,11.7,83000,615,0,10,EPA,1
2024,Rivian,R1S,Dual Standard,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),64,56,60,270,105.0,11.5,9.1,75900,723,0,10,EPA,0
2024,Rivian,R1S,Dual Large,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),71,62,66,330,135.0,11.5,11.7,79900,592,0,10,EPA,1
2024,Rivian,R1S,Quad Large,AWD,Electric,Midsize SUV,Electric Motor,Automatic (variable gear ratios),71,62,66,330,135.0,11.5,11.7,89900,666,0,10,EPA,1
