date,year,month,month_name,quarter,total_ev_sales,tesla_sales,other_premium_sales,mass_market_sales,market_share_percent,avg_price,incentives_total
2023-03-01,2023,3,March,Q1,8002,4418,1527,1936,4.0,54805,11590
2023-04-01,2023,4,April,Q2,6410,4027,1001,786,3.4,51446,8211
2023-05-01,2023,5,May,Q2,6044,3901,970,1517,6.4,58986,11797
2023-06-01,2023,6,June,Q2,6929,4120,1281,842,3.1,51432,10921
2023-07-01,2023,7,July,Q3,6015,3601,1108,1624,2.0,56119,5524
2023-08-01,2023,8,August,Q3,6315,3743,946,1780,3.3,48539,10064
2023-09-01,2023,9,September,Q3,5738,3909,599,1476,6.4,46775,8325
2023-10-01,2023,10,October,Q4,6497,4247,757,1644,5.0,50680,6173
2023-11-01,2023,11,November,Q4,7296,4719,981,1152,7.0,54232,11514
2023-12-01,2023,12,December,Q4,6624,3419,971,996,2.6,46231,5723
2024-01-01,2024,1,January,Q1,6814,4209,1059,1595,6.2,46723,8328
2024-02-01,2024,2,February,Q1,6632,3986,1054,1611,4.8,46006,10740
2024-03-01,2024,3,March,Q1,6406,4162,931,1018,5.4,58421,9964
2024-04-01,2024,4,April,Q2,6065,4233,683,670,7.3,44006,5473
2024-05-01,2024,5,May,Q2,7057,4803,1311,1826,5.3,48305,6118
2024-06-01,2024,6,June,Q2,6345,3756,862,1886,3.8,51110,8827
2024-07-01,2024,7,July,Q3,7373,4478,1268,2160,2.9,48742,5316
2024-08-01,2024,8,August,Q3,5566,3461,580,814,5.7,55389,8931
2024-09-01,2024,9,September,Q3,6445,4137,1063,1673,8.0,50618,10466
2024-10-01,2024,10,October,Q4,6159,4041,618,1017,4.3,52761,9092
2024-11-01,2024,11,November,Q4,6517,3446,813,706,4.3,56366,5355
2024-12-01,2024,12,December,Q4,6496,3639,1245,938,4.9,44905,6392
2025-01-01,2025,1,January,Q1,6439,3621,961,873,2.2,51961,10986
2025-02-01,2025,2,February,Q1,7806,5227,1377,1454,3.8,44336,6501
2025-03-01,2025,3,March,Q1,7981,4491,1535,1801,7.9,46980,7790
2025-04-01,2025,4,April,Q2,8138,4590,1111,991,6.0,55392,8015
2025-05-01,2025,5,May,Q2,8009,4936,1524,1154,6.5,46727,11142
2025-06-01,2025,6,June,Q2,6462,4050,810,730,6.5,55077,7856
2025-07-01,2025,7,July,Q3,6640,3911,1323,929,6.5,46175,10064
2025-08-01,2025,8,August,Q3,5990,3192,1168,1505,7.4,49148,11474
2025-09-01,2025,9,September,Q3,6658,4078,1106,1114,4.6,44977,11498
2025-10-01,2025,10,October,Q4,6365,3885,684,1317,7.3,47202,6138
