station_name,street_address,city,state,zip_code,latitude,longitude,access_code,facility_type,network,connector_types,level1_count,level2_count,dc_fast_count,pricing,hours,date_last_confirmed,updated_at,station_phone,owner_type,federal_agency,open_date,cards_accepted,bd_blends,groups_with_access_code,hydrogen_standards,maximum_vehicle_class,country,intersection_directions,plus4
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,34.145138,-118.152655,public,PARKING_GARAGE,Non-Networked,['J1772'],0,3,0,Free,24 hours daily; pay lot,2025-06-06,2025-06-06T18:42:11Z,626-744-7665,LG,,1997-08-30,CREDIT,,Public,,LD,US,,
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,34.145119,-118.150133,public,PARKING_GARAGE,Non-Networked,['J1772'],0,3,0,"$1 for the first two hours, $2 each additional hour",24 hours daily; pay lot,2025-06-06,2025-06-06T18:42:11Z,626-744-7665,LG,,1997-08-30,CREDIT,,Public,,LD,US,,
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,34.118433,-118.149597,public,GROCERY,Non-Networked,,0,0,0,Free,24 hours daily,2023-05-03,2024-01-31T22:07:01Z,626-441-5450,P,,1997-08-31,,,Public,,LD,US,,
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,33.7637,-118.192,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; pay lot; guest use only; see valet for access,2025-06-06,2025-06-06T18:42:11Z,562-491-1234,P,,2012-05-04,,,Public,,LD,US,,
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,33.94325,-118.403342,public,AIRPORT,Non-Networked,['J1772'],0,20,0,$2 service fee + $0.45 per kWh,24 hours daily; pay lot,2024-08-15,2025-02-12T00:16:32Z,310-646-2911,LG,,1998-06-30,,,Public,,LD,US,Central Terminal Area (CTA) - P6,
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,34.238716,-118.554686,public,,SHELL_RECHARGE,['J1772'],0,5,0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,2025-10-02,2025-10-02T03:44:11Z,855-900-7584,,,1998-05-30,,,Public,,,US,,
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,34.228315,-119.170865,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; guest use only; 2 hour limit,2025-06-06,2025-06-06T18:42:11Z,805-988-3600,P,,1998-05-30,,,Public,,LD,US,,
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,33.824004,-116.543589,public,HOTEL,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; pay lot; priority given to registered guests,2025-06-06,2025-06-06T18:42:11Z,760-320-6868,P,,2011-12-12,,,Public,,LD,US,,
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,34.0189,-117.38,public,OFFICE_BLDG,Non-Networked,"['J1772', 'TESLA']",0,4,0,Free,8am-4:30pm M-F,2025-06-06,2025-06-06T18:42:11Z,951-682-8222,P,,1998-05-30,,,Public,,LD,US,,
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,38.69005,-121.58889,public,AIRPORT,Non-Networked,['J1772'],0,4,0,$12 parking fee,24 hours daily; pay lot,2025-06-06,2025-06-06T18:42:11Z,916-874-0670,P,,1998-06-30,,,Public,,LD,US,,
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,34.017081,-118.44704,public,AIRPORT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2023-01-10,2023-02-14T15:54:11Z,310-458-8516,LG,,1998-06-30,,,Public,,LD,US,,
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,34.010021,-118.49583,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,24 hours daily; pay lot,2023-01-10,2023-02-14T15:54:11Z,310-458-8516,LG,,2019-04-08,,,Public,,LD,US,,
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,34.156407,-118.438965,public,,SHELL_RECHARGE,['J1772'],0,2,0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,2025-10-02,2025-10-02T03:46:54Z,855-900-7584,,,1998-05-30,,,Public,,,US,,
Universal City Hilton,555 Universal Hollywood Dr,Universal City,CA,91608,34.13722,-118.35835,public,HOTEL,Non-Networked,"['J1772', 'NEMA520']",1,10,0,Free,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z,818-506-2500,P,,1998-05-30,,,Public - Call ahead,,LD,US,,
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,33.94756,-118.153806,public,SHOPPING_CENTER,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,562-806-6600,T,,1998-06-15,,,Public,,MD,US,,
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,37.80619,-122.4152,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; pay lot; guest use only; see valet for access; 3 hour maximum,2025-06-06,2025-06-06T18:42:11Z,415-563-1234,P,,1998-07-01,,,Public,,LD,US,,
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,38.599693,-121.427045,public,SHOPPING_MALL,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2025-06-06,2025-06-06T18:42:11Z,916-920-1167,P,,2019-11-01,,,Public,,LD,US,,
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,37.78881,-122.401,public,HOTEL,Non-Networked,['J1772'],0,2,0,$10 per session,24 hours daily,2025-05-12,2025-05-12T16:15:59Z,415-512-1111,P,,2002-01-31,,,Public,,LD,US,,
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,37.791791,-122.411265,public,HOTEL,Non-Networked,['J1772'],0,1,0,,24 hours daily; for guest use only; see valet for access,2024-08-15,2025-02-12T00:16:32Z,415-392-3434,P,,2002-01-31,,,Public,,LD,US,California at Mason,
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.248959,-118.523887,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z,818-677-1200,P,,2002-01-15,,,Public,,LD,US,Lot G9 structure; Near Zelzah and Kenzie second level parking,
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.241687,-118.528543,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free; parking is $8 per day.,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z,818-677-1200,P,,2002-01-15,,,Public,,LD,US,"Lot B4; Prairie St, near Darby Ave",
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.236853,-118.532588,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,4,0,Free,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z,818-677-1200,P,,2002-01-15,,,Public,,LD,US,"Surface lot B2; West side of Etiwanda, South of Prairie",
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,33.740758,-118.28192,public,PARKING_LOT,Non-Networked,['J1772'],0,4,0,Free; pay for parking,8am-5pm daily,2024-07-11,2025-02-12T00:16:32Z,310-732-7678,P,,2013-03-26,,,Public,,LD,US,,
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,34.077588,-118.474585,public,PARKING_GARAGE,Non-Networked,"['J1772', 'NEMA520']",12,15,0,Free; parking fee,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,2025-05-12,2025-05-12T16:15:59Z,310-440-7300,P,,2013-07-01,,,Public,,LD,US,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,
LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,34.145528,-118.050548,public,PARK,POWERFLEX,['J1772'],0,3,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,24 hours daily,2025-05-12,2025-05-12T16:15:59Z,833-479-7359,P,,2014-06-01,Proprietor,,Public,,LD,US,Located in parking lot directly across from Harvard Dr,
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,34.13556,-117.864,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,5am-2am daily,2025-06-06,2025-06-06T18:42:11Z,626-914-8200,LG,,2002-04-30,,,TEMPORARILY UNAVAILABLE (Public),,LD,US,Located across the street from City Hall,
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,33.9826,-118.3966,public,HOTEL,Non-Networked,['J1772'],0,2,0,,24 hours daily; guest use only; see valet,2023-06-12,2024-01-31T22:07:01Z,310-649-1776,P,,2019-12-31,,,Public,,LD,US,,
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,34.029971,-118.385231,public,PARKING_GARAGE,Non-Networked,['J1772'],0,6,0,"$1.35 per hour for first two hours, $3 per hour thereafter",24 hours daily,2023-06-12,2025-05-05T20:38:42Z,310-204-1865,P,,2017-04-25,,,Public,,LD,US,,
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,33.777054,-117.870566,public,SHOPPING_MALL,Non-Networked,['J1772'],0,8,0,Free,Business hours,2024-07-11,2025-02-12T00:16:32Z,714-547-7800,P,,2002-05-30,,,Public,,LD,US,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,34.16657601660278,-119.045854662704,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,5,0,Free; $6 for parking day pass for non-permit holders,24 hours daily; parking pass required or day pass available for purchase,2025-06-06,2025-06-06T18:42:11Z,805-437-8400,P,,2002-05-30,,,Public,,MD,US,Located in lot A3,
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,33.919899,-117.898618,public,PARKING_GARAGE,Non-Networked,['J1772'],0,4,0,,Garage business hours; 4 hour parking limit,2023-07-11,2025-05-28T18:55:50Z,714-990-7650,LG,,2002-05-30,,,Public,,LD,US,,
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,34.192178,-118.934793,public,SHOPPING_CENTER,Non-Networked,"['J1772', 'NEMA515']",4,2,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2023-08-10,2025-09-08T15:51:33Z,805-375-6680,P,,2002-05-15,,,Public,,LD,US,In front of garden center,
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,34.418322,-119.3368,public,PARK,Non-Networked,['J1772'],0,1,0,$20 parking fee,8am-5pm daily,2024-07-11,2025-02-12T00:16:32Z,805-649-2233,P,,2002-05-30,,,Public - Call ahead,,LD,US,Baldwin Road/Casitas Pass Road,
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,34.105275,-117.809208,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2023-08-10,2025-05-29T22:00:09Z,909-394-6271,P,,2002-05-30,,,Public,,LD,US,Bonita Ave and San Dimas Ave,
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,34.267352,-119.2124,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,,8am-5pm daily,2023-10-12,2025-05-29T20:32:14Z,,LG,,2012-10-19,,,Public,,LD,US,,
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,34.268756,-119.2154,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,8am-5pm daily,2024-05-09,2025-02-12T00:16:32Z,805-645-1400,LG,,2012-10-18,,,Public - Limited hours,,LD,US,,
Pacific View Mall,3295 E Main St,Ventura,CA,93003,34.268,-119.2492,public,SHOPPING_MALL,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2025-05-12,2025-05-12T16:15:59Z,805-642-5530,P,,2002-05-30,,,TEMPORARILY UNAVAILABLE (Public),,LD,US,,
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,33.917593,-118.425334,private,UTILITY,Non-Networked,['J1772'],0,21,0,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,,
LA County DPW Baldwin Park,14747 E Ramona Blvd,Baldwin Park,CA,91706,34.089085,-117.95463,private,FLEET_GARAGE,Non-Networked,['J1772'],0,3,0,,,2024-01-09,2025-02-26T17:46:29Z,,LG,,2015-12-31,Proprietor,,Private - Government only,,LD,US,,
LA County DPW Imperial,5525 E Imperial Hwy,South Gate,CA,90280,33.930663,-118.175758,private,MUNI_GOV,POWERFLEX,['J1772'],0,1,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,,2025-05-12,2025-05-12T16:15:59Z,,LG,,2017-10-20,Proprietor,,Private - Government only,,LD,US,,
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,38.539336,-121.732405,public,COLLEGE_CAMPUS,Non-Networked,"['J1772', 'NEMA520']",1,3,0,Parking fee,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2025-05-07T15:59:42Z,530-752-8277,SG,,2004-06-01,,,Public,,LD,US,,
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,35.25939,-120.64492,private,MUNI_GOV,Non-Networked,"['J1772', 'NEMA520']",1,1,0,,For fleet vehicle use only; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2023-02-14T15:54:11Z,,LG,,2002-07-15,,,Private,,LD,US,,
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,33.773005,-118.265821,private,UTILITY,Non-Networked,['J1772'],0,8,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,2019-04-01,,,Private,,,US,,
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,38.66292,-121.2634,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-08-15,2025-05-07T15:38:37Z,916-264-2700,LG,,2004-06-01,,,Public,,LD,US,,
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,38.57277,-121.467902,public,COLLEGE_CAMPUS,Non-Networked,"['J1772', 'NEMA520']",1,2,0,Free,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,2023-10-12,2025-05-16T13:33:03Z,916-327-7072,P,,2004-05-30,,,Public,,LD,US,Located on the 2nd floor,
North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,38.7042,-121.365,public,LIBRARY,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2025-06-06,2025-06-06T18:42:11Z,916-264-2920,LG,,2019-08-01,,,Public,,LD,US,,
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,38.615468,-121.517263,private,OFFICE_BLDG,Non-Networked,['J1772'],0,1,0,,Tenant use only,2025-06-06,2025-06-06T18:42:11Z,916-921-5795,P,,2004-05-30,,,Private,,LD,US,,
University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,38.552483,-121.4487,public,HOSPITAL,Non-Networked,['J1772'],0,2,0,,24 hours daily,2023-10-12,2025-04-07T15:48:18Z,800-282-3284,P,,2019-11-01,,,Public,,LD,US,"Located in Parking Structure 2, at 49th St",
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,38.73323,-120.78962,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,Lot business hours; overnight parking prohibited,2023-05-03,2025-05-29T13:40:05Z,530-642-5383,LG,,2004-05-30,,,Public,,LD,US,,
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,38.356027,-121.9628,public,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,,,Public,,LD,US,,
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,38.36557,-121.967,public,REC_SPORTS_FACILITY,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,D,,Public,,LD,US,,
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,38.35172,-121.987,public,TRAVEL_CENTER,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,,,Public,,LD,US,,
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,38.356907,-122.001886,public,OFFICE_BLDG,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,,,Public,,LD,US,At Morales Ct,
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,38.355867,-121.9862,public,PARKING_LOT,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,,,Public,,LD,US,At Davis St,
City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,38.351758,-121.994475,public,MUNI_GOV,Non-Networked,['J1772'],0,7,0,Free,24 hours daily; Primarily government use,2024-08-15,2025-02-12T00:16:32Z,,LG,,2004-06-15,,,Public,,LD,US,,
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,38.682605,-121.297614,public,MUNI_GOV,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2025-01-13,2025-02-12T00:16:32Z,916-725-2448,LG,,2016-02-01,,,Public,,LD,US,Stations at rear and entrance,
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,38.457369,-121.842567,public,SHOPPING_CENTER,Non-Networked,['NEMA520'],1,0,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2004-06-15,,,Public,,,US,,
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,38.72799,-120.828,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,24 hours daily,2024-01-09,2024-01-31T22:07:01Z,530-621-5300,LG,,2004-05-15,,,Public,,LD,US,Building C parking lot,
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,38.6476,-121.067,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-01-09,2024-01-31T22:07:01Z,530-642-5383,LG,,2012-05-01,,,Public,,LD,US,,
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,38.40553,-121.391,private,CAR_DEALER,Non-Networked,['J1772'],0,1,0,,Service center use only,2022-08-10,2023-02-15T22:45:41Z,,P,,2012-05-10,,,Private,,LD,US,,
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,38.74453,-121.17,public,CONVENIENCE_STORE,Non-Networked,['J1772'],0,1,0,Free,8am-10pm daily,2023-08-10,2025-05-05T20:35:39Z,916-791-1189,P,,1998-06-15,,,Public,,LD,US,At Douglas Blvd,
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,38.618066,-121.334337,public,LIBRARY,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-08-15,2025-05-07T15:38:37Z,916-264-2700  916-264-2920,P,,2004-07-15,,,Public,,LD,US,At La Vista,
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,38.15485,-121.69,public,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-374-6451,LG,,2006-08-15,,,Public,,LD,US,,
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,38.25281,-122.044229,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; 2 hour limit,2024-08-15,2025-02-12T00:16:32Z,707-428-7414,LG,,2012-08-27,,,Public,,LD,US,,
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,38.23723,-122.123,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,3,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2005-07-15,,,Public,,,US,,
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,38.105062,-122.265895,public,TRAVEL_CENTER,Non-Networked,,0,0,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,LG,,2005-07-15,,,Public,,MD,US,,
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,33.944761,-118.399767,public,AIRPORT,Non-Networked,['J1772'],0,20,0,$2 service fee + $0.45 per kWh,24 hours daily; pay lot,2024-08-15,2025-02-12T00:16:32Z,310-646-2911,LG,,2011-02-15,,,Public,,LD,US,Central Terminal Area (CTA) - P1,
City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,38.35109,-121.993654,private,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,,2024-07-11,2025-02-12T00:16:32Z,,LG,,2006-08-15,,,Private - Government only,,LD,US,,
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,34.059047,-118.256812,private,UTILITY,Non-Networked,['J1772'],0,17,0,,Employee use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,2016-10-15,,,Private - Government only,,,US,At Beaudry Ave,
LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,34.033898,-118.256673,private,UTILITY,Non-Networked,['J1772'],0,19,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,North of 15th St,
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,34.081998,-118.21713,private,UTILITY,Non-Networked,['J1772'],0,79,0,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,2016-01-01,,,Private,,,US,Between W Ave 26 and W Ave 33,
LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,33.799476,-118.257977,private,UTILITY,Non-Networked,['J1772'],0,2,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,2016-01-01,,,Private - Government only,,,US,East of Wilmington Ave,
LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,34.208708,-118.444358,private,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,95,2,,Fleet and employee use only,2023-09-14,2025-08-18T15:54:31Z,,LG,,2019-05-06,,,Private - Government only,,,US,At Van Nuys Blvd,
LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,34.241928,-118.390147,private,UTILITY,Non-Networked,['J1772'],0,17,0,,Fleet and employee use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,Between Glenoaks Blvd and San Fernando Rd,
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,38.368755,-121.961192,public,SHOPPING_CENTER,Non-Networked,"['J1772', 'NEMA515']",1,1,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z,707-449-5424,P,,2008-12-15,,,Public,,,US,,
