station_name,street_address,city,state,zip_code,latitude,longitude,access_code,facility_type,network,connector_types,level1_count,level2_count,dc_fast_count,pricing,hours,date_last_confirmed,updated_at
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,33.7637,-118.192,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; pay lot; guest use only; see valet for access,2025-06-06,2025-06-06T18:42:11Z
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,33.94325,-118.403342,public,AIRPORT,Non-Networked,['J1772'],0,20,0,$2 service fee + $0.45 per kWh,24 hours daily; pay lot,2024-08-15,2025-02-12T00:16:32Z
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,34.238716,-118.554686,public,,SHELL_RECHARGE,['J1772'],0,5,0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,2025-08-28,2025-08-28T03:14:08Z
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,34.228315,-119.170865,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; guest use only; 2 hour limit,2025-06-06,2025-06-06T18:42:11Z
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,33.824004,-116.543589,public,HOTEL,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; pay lot; priority given to registered guests,2025-06-06,2025-06-06T18:42:11Z
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,34.0189,-117.38,public,OFFICE_BLDG,Non-Networked,"['J1772', 'TESLA']",0,4,0,Free,8am-4:30pm M-F,2025-06-06,2025-06-06T18:42:11Z
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,38.69005,-121.58889,public,AIRPORT,Non-Networked,['J1772'],0,4,0,$12 parking fee,24 hours daily; pay lot,2025-06-06,2025-06-06T18:42:11Z
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,34.017081,-118.44704,public,AIRPORT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2023-01-10,2023-02-14T15:54:11Z
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,34.010021,-118.49583,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,24 hours daily; pay lot,2023-01-10,2023-02-14T15:54:11Z
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,34.156407,-118.438965,public,,SHELL_RECHARGE,['J1772'],0,2,0,,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,2025-08-28,2025-08-28T03:16:09Z
Universal City Hilton,555 Universal Hollywood Dr,Universal City,CA,91608,34.13722,-118.35835,public,HOTEL,Non-Networked,"['J1772', 'NEMA520']",1,10,0,Free,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,33.94756,-118.153806,public,SHOPPING_CENTER,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,37.80619,-122.4152,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; pay lot; guest use only; see valet for access; 3 hour maximum,2025-06-06,2025-06-06T18:42:11Z
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,38.599693,-121.427045,public,SHOPPING_MALL,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2025-06-06,2025-06-06T18:42:11Z
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,37.78881,-122.401,public,HOTEL,Non-Networked,['J1772'],0,2,0,$10 per session,24 hours daily,2025-05-12,2025-05-12T16:15:59Z
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,37.791791,-122.411265,public,HOTEL,Non-Networked,['J1772'],0,1,0,,24 hours daily; for guest use only; see valet for access,2024-08-15,2025-02-12T00:16:32Z
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.248959,-118.523887,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.241687,-118.528543,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free; parking is $8 per day.,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.236853,-118.532588,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,4,0,Free,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,33.740758,-118.28192,public,PARKING_LOT,Non-Networked,['J1772'],0,4,0,Free; pay for parking,8am-5pm daily,2024-07-11,2025-02-12T00:16:32Z
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,34.077588,-118.474585,public,PARKING_GARAGE,Non-Networked,"['J1772', 'NEMA520']",12,15,0,Free; parking fee,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,2025-05-12,2025-05-12T16:15:59Z
LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,34.145528,-118.050548,public,PARK,POWERFLEX,['J1772'],0,3,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,24 hours daily,2025-05-12,2025-05-12T16:15:59Z
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,34.13556,-117.864,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,5am-2am daily,2025-06-06,2025-06-06T18:42:11Z
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,33.9826,-118.3966,public,HOTEL,Non-Networked,['J1772'],0,2,0,,24 hours daily; guest use only; see valet,2023-06-12,2024-01-31T22:07:01Z
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,34.029971,-118.385231,public,PARKING_GARAGE,Non-Networked,['J1772'],0,6,0,"$1.35 per hour for first two hours, $3 per hour thereafter",24 hours daily,2023-06-12,2025-05-05T20:38:42Z
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,33.777054,-117.870566,public,SHOPPING_MALL,Non-Networked,['J1772'],0,8,0,Free,Business hours,2024-07-11,2025-02-12T00:16:32Z
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,34.16657601660278,-119.045854662704,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,5,0,Free; $6 for parking day pass for non-permit holders,24 hours daily; parking pass required or day pass available for purchase,2025-06-06,2025-06-06T18:42:11Z
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,33.919899,-117.898618,public,PARKING_GARAGE,Non-Networked,['J1772'],0,4,0,,Garage business hours; 4 hour parking limit,2023-07-11,2025-05-28T18:55:50Z
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,34.192178,-118.934793,public,SHOPPING_CENTER,Non-Networked,"['J1772', 'NEMA515']",4,2,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2023-08-10,2024-01-31T22:07:01Z
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,34.418322,-119.3368,public,PARK,Non-Networked,['J1772'],0,1,0,$20 parking fee,8am-5pm daily,2024-07-11,2025-02-12T00:16:32Z
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,34.105275,-117.809208,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2023-08-10,2025-05-29T22:00:09Z
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,34.267352,-119.2124,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,,8am-5pm daily,2023-10-12,2025-05-29T20:32:14Z
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,34.268756,-119.2154,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,8am-5pm daily,2024-05-09,2025-02-12T00:16:32Z
Pacific View Mall,3295 E Main St,Ventura,CA,93003,34.268,-119.2492,public,SHOPPING_MALL,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2025-05-12,2025-05-12T16:15:59Z
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,33.917593,-118.425334,private,UTILITY,Non-Networked,['J1772'],0,21,0,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z
LA County DPW Baldwin Park,14747 E Ramona Blvd,Baldwin Park,CA,91706,34.089085,-117.95463,private,FLEET_GARAGE,Non-Networked,['J1772'],0,3,0,,,2024-01-09,2025-02-26T17:46:29Z
LA County DPW Imperial,5525 E Imperial Hwy,South Gate,CA,90280,33.930663,-118.175758,private,MUNI_GOV,POWERFLEX,['J1772'],0,1,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,,2025-05-12,2025-05-12T16:15:59Z
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,38.539336,-121.732405,public,COLLEGE_CAMPUS,Non-Networked,"['J1772', 'NEMA520']",1,3,0,Parking fee,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2025-05-07T15:59:42Z
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,35.25939,-120.64492,private,MUNI_GOV,Non-Networked,"['J1772', 'NEMA520']",1,1,0,,For fleet vehicle use only; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2023-02-14T15:54:11Z
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,33.773005,-118.265821,private,UTILITY,Non-Networked,['J1772'],0,8,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,38.66292,-121.2634,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-08-15,2025-05-07T15:38:37Z
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,38.57277,-121.467902,public,COLLEGE_CAMPUS,Non-Networked,"['J1772', 'NEMA520']",1,2,0,Free,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,2023-10-12,2025-05-16T13:33:03Z
North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,38.7042,-121.365,public,LIBRARY,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2025-06-06,2025-06-06T18:42:11Z
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,38.615468,-121.517263,private,OFFICE_BLDG,Non-Networked,['J1772'],0,1,0,,Tenant use only,2025-06-06,2025-06-06T18:42:11Z
University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,38.552483,-121.4487,public,HOSPITAL,Non-Networked,['J1772'],0,2,0,,24 hours daily,2023-10-12,2025-04-07T15:48:18Z
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,38.73323,-120.78962,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,Lot business hours; overnight parking prohibited,2023-05-03,2025-05-29T13:40:05Z
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,38.356027,-121.9628,public,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,38.36557,-121.967,public,REC_SPORTS_FACILITY,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,38.35172,-121.987,public,TRAVEL_CENTER,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,38.356907,-122.001886,public,OFFICE_BLDG,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,38.355867,-121.9862,public,PARKING_LOT,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,38.351758,-121.994475,public,MUNI_GOV,Non-Networked,['J1772'],0,7,0,Free,24 hours daily; Primarily government use,2024-08-15,2025-02-12T00:16:32Z
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,38.682605,-121.297614,public,MUNI_GOV,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2025-01-13,2025-02-12T00:16:32Z
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,38.457369,-121.842567,public,SHOPPING_CENTER,Non-Networked,['NEMA520'],1,0,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,38.72799,-120.828,public,MUNI_GOV,Non-Networked,['J1772'],0,3,0,Free,24 hours daily,2024-01-09,2024-01-31T22:07:01Z
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,38.6476,-121.067,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-01-09,2024-01-31T22:07:01Z
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,38.40553,-121.391,private,CAR_DEALER,Non-Networked,['J1772'],0,1,0,,Service center use only,2022-08-10,2023-02-15T22:45:41Z
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,38.74453,-121.17,public,CONVENIENCE_STORE,Non-Networked,['J1772'],0,1,0,Free,8am-10pm daily,2023-08-10,2025-05-05T20:35:39Z
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,38.618066,-121.334337,public,LIBRARY,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-08-15,2025-05-07T15:38:37Z
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,38.15485,-121.69,public,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,38.25281,-122.044229,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; 2 hour limit,2024-08-15,2025-02-12T00:16:32Z
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,38.23723,-122.123,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,3,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,38.105062,-122.265895,public,TRAVEL_CENTER,Non-Networked,,0,0,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,33.944761,-118.399767,public,AIRPORT,Non-Networked,['J1772'],0,20,0,$2 service fee + $0.45 per kWh,24 hours daily; pay lot,2024-08-15,2025-02-12T00:16:32Z
City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,38.35109,-121.993654,private,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,,2024-07-11,2025-02-12T00:16:32Z
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,34.059047,-118.256812,private,UTILITY,Non-Networked,['J1772'],0,17,0,,Employee use only,2023-09-14,2025-08-18T15:54:31Z
LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,34.033898,-118.256673,private,UTILITY,Non-Networked,['J1772'],0,19,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,34.081998,-118.21713,private,UTILITY,Non-Networked,['J1772'],0,79,0,,Fleet use only,2023-09-14,2025-08-18T15:54:31Z
LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,33.799476,-118.257977,private,UTILITY,Non-Networked,['J1772'],0,2,0,,Fleet use only,2024-01-09,2025-08-18T15:54:31Z
LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,34.208708,-118.444358,private,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,95,2,,Fleet and employee use only,2023-09-14,2025-08-18T15:54:31Z
LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,34.241928,-118.390147,private,UTILITY,Non-Networked,['J1772'],0,17,0,,Fleet and employee use only,2024-01-09,2025-08-18T15:54:31Z
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,38.368755,-121.961192,public,SHOPPING_CENTER,Non-Networked,"['J1772', 'NEMA515']",1,1,0,Free,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2024-07-11,2025-02-12T00:16:32Z
4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,95616,38.54643,-121.7388,public,PARKING_GARAGE,Non-Networked,['J1772'],0,2,0,Free,6am-2am daily,2024-05-09,2025-02-12T00:16:32Z
Davis Amtrak Station,840 2nd St,Davis,CA,95616,38.5443,-121.738,public,PAY_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2023-01-10,2025-05-05T20:48:32Z
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,38.544538,-121.749713,public,COLLEGE_CAMPUS,Non-Networked,"['J1772', 'NEMA520']",3,7,0,Parking fee,24 hours daily; pay lot; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2025-05-07T15:59:42Z
University Covenant Church,315 Mace Blvd,Davis,CA,95618,38.55755,-121.6947,public,PLACE_OF_WORSHIP,Non-Networked,['J1772'],0,1,0,Free,For guests/workers only,2024-08-15,2025-02-12T00:16:32Z
Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,38.569412,-121.721373,public,REC_SPORTS_FACILITY,Non-Networked,['J1772'],0,2,0,,24 hours daily; customer use only,2023-05-03,2024-01-31T22:07:01Z
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,33.84788,-118.13889,public,SHOPPING_MALL,Non-Networked,['J1772'],0,2,0,Free,5am-10pm daily,2023-05-03,2024-01-31T22:07:01Z
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,37.94495,-122.5096,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; pay lot,2025-06-06,2025-06-06T18:42:11Z
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,37.7136,-122.2087,public,AIRPORT,Non-Networked,['J1772'],0,4,0,Free,24 hours daily; pay lot,2023-06-12,2025-04-29T18:26:59Z
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,38.2482,-122.0678,public,TRAVEL_CENTER,Non-Networked,['J1772'],0,2,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,35.249929,-120.689683,public,SHOPPING_CENTER,Non-Networked,['J1772'],0,2,0,,24 hours daily,2023-05-03,2024-01-31T22:07:01Z
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,35.25982,-120.676,public,SHOPPING_CENTER,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z
Goleta Mechanics Bank,5956 Calle Real,Goleta,CA,93117,34.44198,-119.829553,public,BANK,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2025-01-13,2025-02-12T00:16:32Z
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,34.019875,-118.49151,public,CAR_DEALER,Non-Networked,['J1772'],0,3,0,,Dealership business hours; priority for customer use,2022-08-10,2024-12-13T14:49:36Z
Parc 55 Hotel,55 Cyril Magnin,San Francisco,CA,94102,37.784871,-122.408991,public,HOTEL,Non-Networked,['J1772'],0,1,0,,24 hours daily; pay lot,2023-09-14,2024-01-31T22:07:01Z
Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,37.806798,-122.419488,public,PAY_GARAGE,Non-Networked,['J1772'],0,5,0,Free,24 hours daily; pay lot,2023-09-14,2024-01-31T22:07:01Z
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,34.010528,-118.4898,public,MUNI_GOV,Non-Networked,"['CHADEMO', 'J1772']",0,12,2,Free,24 hours daily; pay lot,2023-01-10,2023-02-14T15:54:11Z
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,39.1458,-123.198497,public,HOTEL,Non-Networked,['J1772'],0,1,0,$10 per session,24 hours daily; guest use only,2025-05-12,2025-05-12T16:15:59Z
Antioch Nissan,1831 Auto Center Dr,Antioch,CA,94509,38.007799,-121.832042,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,1,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Nissan of Bakersfield,2800 Pacheco Rd,Bakersfield,CA,93313,35.310723,-119.035324,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,3,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Buena Park Nissan,6501 Auto Center Dr,Buena Park,CA,90621,33.865497,-117.995215,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,3,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Carson Nissan,1505 E 223rd St,Carson,CA,90745,33.82498,-118.24566,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,2,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Palm Springs Nissan,68177 Kyle Rd,Cathedral City,CA,92234,33.78414,-116.471,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772']",0,1,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Cerritos Nissan,18707 Studebaker Rd,Cerritos,CA,90703,33.861544,-118.100471,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,1,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Chico Nissan,575 Manzanita Ave,Chico,CA,95926,39.75674,-121.84372,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,3,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Puente Hills Nissan,17320 E Gale Ave,City of Industry,CA,91748,33.997621,-117.928216,public,CAR_DEALER,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,2,1,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Lithia Nissan - Clovis,370 W Herndon Ave,Clovis,CA,93612,36.83692,-119.71718,public,CAR_DEALER,Non-Networked,['J1772'],0,1,0,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
Autocom Nissan - Concord,1290 Concord Ave,Concord,CA,94520,37.980192,-122.050128,public,CAR_DEALER,Non-Networked,['J1772'],0,1,0,Free,Dealership business hours,2024-02-12,2025-02-12T00:16:32Z
