year,make,model,drive_type,fuel_type,vehicle_class,engine_description,transmission,city_mpg,highway_mpg,combined_mpg,range_miles,battery_capacity_kwh,charge_time_240v,msrp_base,co2_emissions,ghg_score
2019,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),85,77,81,336,105.2,14.6,44868,0,10
2020,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),94,84,89,327,105.2,14.6,51869,0,10
2021,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),85,77,81,347,105.2,14.6,61339,0,10
2022,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),93,84,88,361,105.2,14.6,48937,0,10
2023,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),100,90,95,340,105.2,14.6,42765,0,10
2024,BMW,iX,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),102,92,97,403,105.2,14.6,48288,0,10
2019,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),116,104,110,314,77.4,10.8,43851,0,10
2020,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),124,112,118,312,77.4,10.8,45022,0,10
2021,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),119,107,113,326,77.4,10.8,42160,0,10
2022,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),125,112,118,304,77.4,10.8,48372,0,10
2023,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),123,111,117,342,77.4,10.8,49930,0,10
2024,Hyundai,Ioniq 5,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),139,125,132,374,77.4,10.8,48853,0,10
2019,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),71,64,68,292,135.0,18.8,55642,0,10
2020,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),69,62,66,335,135.0,18.8,48806,0,10
2021,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),75,67,71,339,135.0,18.8,57963,0,10
2022,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),77,70,73,330,135.0,18.8,48392,0,10
2023,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),82,73,78,363,135.0,18.8,46629,0,10
2024,Rivian,R1T,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),78,71,75,361,135.0,18.8,48139,0,10
2019,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),66,59,62,306,135.0,18.8,44891,0,10
2020,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),71,64,68,316,135.0,18.8,49964,0,10
2021,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),75,67,71,316,135.0,18.8,45198,0,10
2022,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),74,66,70,324,135.0,18.8,54158,0,10
2023,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),79,71,75,361,135.0,18.8,53370,0,10
2024,Rivian,R1S,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),77,70,74,340,135.0,18.8,52185,0,10
